generation,total_distance,max_daily_distance,valid,solution
0,1818.659472754331,250.59750104574576,True,"[[10], [3], [1], [9], [1], [3], [1], [5], [10], [2], [9], [6], [6], [6], [4], [2], [2], [5], [3], [6], [1], [5], [6], [10], [3], [8], [5], [1], [4], [9], [10], [9], [1], [2], [8], [9], [4], [5], [2], [9], [3], [2], [4], [5], [4], [3], [9], [7], [10], [4], [4], [6], [1], [5], [4], [8], [8], [9], [8], [3], [4], [2], [2], [6], [6], [5], [1], [6], [8], [10], [1], [2], [4], [5]]"
0,inf,inf,False,"[[4], [7], [4], [3], [4], [9], [6], [9], [3], [5], [3], [4], [5], [5], [6], [2], [2], [1], [4], [3], [9], [8], [9], [3], [2], [1], [7], [6], [9], [4], [9], [10], [2], [7], [2], [7], [7], [9], [1], [8], [4], [8], [2], [5], [9], [6], [10], [10], [3], [10], [6], [5], [10], [7], [7], [1], [6], [6], [3], [10], [7], [8], [4], [5], [4], [8], [4], [9], [9], [10], [6], [4], [2], [2]]"
0,inf,inf,False,"[[7], [4], [3], [6], [10], [1], [3], [3], [10], [9], [1], [9], [1], [9], [3], [2], [3], [1], [8], [1], [9], [6], [6], [8], [4], [3], [5], [8], [8], [2], [3], [9], [2], [2], [5], [9], [8], [2], [4], [2], [10], [1], [9], [6], [6], [1], [2], [6], [5], [9], [2], [8], [4], [7], [1], [8], [4], [7], [4], [9], [4], [4], [2], [3], [1], [8], [8], [10], [8], [5], [8], [7], [1], [4]]"
0,inf,inf,False,"[[3], [5], [2], [8], [10], [9], [8], [10], [2], [7], [10], [9], [4], [10], [3], [1], [6], [8], [10], [5], [2], [1], [1], [1], [7], [1], [4], [7], [8], [10], [10], [8], [9], [5], [7], [10], [8], [5], [1], [6], [3], [1], [3], [6], [2], [10], [10], [10], [3], [5], [5], [1], [10], [3], [3], [4], [5], [7], [5], [8], [6], [2], [10], [9], [4], [1], [3], [2], [2], [2], [10], [9], [2], [5]]"
0,inf,inf,False,"[[7], [3], [4], [5], [4], [8], [4], [2], [5], [3], [3], [5], [9], [7], [4], [1], [1], [4], [10], [9], [1], [7], [6], [4], [10], [2], [8], [1], [5], [9], [7], [9], [1], [3], [4], [2], [9], [6], [7], [6], [6], [6], [5], [7], [6], [4], [7], [4], [4], [3], [7], [2], [6], [1], [9], [7], [6], [10], [9], [7], [7], [9], [10], [1], [8], [1], [5], [3], [2], [10], [6], [9], [5], [3]]"
0,inf,inf,False,"[[5], [3], [5], [9], [9], [5], [5], [10], [1], [6], [6], [10], [1], [1], [2], [5], [3], [9], [8], [5], [5], [6], [2], [1], [4], [3], [5], [8], [4], [3], [2], [3], [2], [9], [8], [1], [3], [3], [8], [2], [9], [6], [6], [4], [8], [6], [2], [1], [6], [1], [7], [8], [1], [6], [4], [5], [7], [4], [9], [10], [4], [4], [8], [2], [3], [5], [6], [5], [3], [9], [6], [2], [4], [2]]"
0,inf,inf,False,"[[2], [2], [5], [5], [7], [10], [9], [2], [3], [6], [1], [10], [4], [7], [5], [7], [2], [6], [4], [4], [1], [2], [4], [7], [6], [2], [2], [9], [1], [10], [2], [9], [3], [7], [7], [7], [4], [1], [7], [1], [3], [5], [10], [6], [9], [6], [5], [2], [3], [1], [2], [6], [1], [4], [2], [4], [2], [8], [4], [8], [8], [8], [6], [10], [10], [10], [9], [7], [1], [10], [6], [9], [6], [10]]"
0,inf,inf,False,"[[10], [4], [3], [4], [4], [3], [6], [8], [1], [7], [6], [6], [3], [6], [3], [1], [3], [6], [7], [4], [3], [1], [10], [2], [9], [9], [3], [4], [4], [3], [4], [5], [7], [1], [1], [6], [5], [3], [4], [7], [9], [2], [8], [3], [6], [1], [9], [4], [6], [1], [1], [5], [8], [10], [4], [1], [10], [5], [2], [9], [2], [9], [6], [1], [5], [6], [4], [3], [1], [1], [10], [2], [6], [2]]"
0,inf,inf,False,"[[3], [9], [3], [2], [1], [5], [5], [1], [10], [8], [1], [6], [9], [7], [2], [5], [8], [6], [10], [2], [4], [10], [10], [5], [6], [10], [2], [4], [2], [6], [2], [9], [9], [9], [7], [3], [1], [7], [7], [6], [6], [1], [7], [10], [7], [9], [8], [10], [3], [2], [6], [2], [8], [3], [4], [3], [7], [9], [5], [6], [6], [9], [6], [10], [4], [4], [5], [5], [1], [1], [2], [10], [5], [2]]"
0,1939.9480897815092,232.79571211059567,True,"[[9], [5], [10], [10], [7], [8], [6], [6], [5], [2], [7], [3], [4], [6], [6], [4], [8], [2], [4], [4], [10], [10], [2], [7], [6], [4], [1], [9], [3], [2], [10], [6], [1], [10], [9], [3], [5], [1], [4], [1], [7], [3], [8], [8], [1], [8], [10], [5], [1], [5], [7], [9], [10], [5], [4], [10], [6], [9], [7], [3], [8], [1], [6], [3], [2], [10], [7], [7], [3], [1], [5], [2], [10], [1]]"
